category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0542,399,287,198,178,130,399,399,686,811,0.47446706523224946
C0543,181,119,90,53,58,181,181,318,372,0.5631239185283915
C0544,42,24,13,31,43,42,42,75,137,0.4006602644658416
C0545,171,168,138,132,116,171,171,397,568,0.5281619917456144
C0546,14,23,16,24,8,14,14,52,75,0.346775205661007
C0547,30,13,5,12,12,30,30,47,67,0.4551085935331034
C0548,123,132,93,86,74,123,123,285,371,0.33790718465359787
C0549,50,31,27,20,5,50,50,86,97,0.43427936978011134
C0550,220,175,153,120,134,220,220,435,568,0.45443068052735014
C0551,162,159,168,101,100,162,162,393,511,0.3659202320096482
C0552,650,546,429,437,410,650,650,1180,1524,0.5495843738684137
C0553,556,514,313,204,200,556,556,1113,1320,0.3663132587819289
C0554,102,100,84,62,53,102,102,245,323,0.5083428583328803
C0555,452,437,323,306,243,452,452,771,908,0.6214207396222589
C0556,1059,858,712,544,406,1059,1059,1561,1712,0.6801141048946885
C0557,997,1069,909,880,839,997,997,2033,2596,0.577609760254107
C0558,140,129,79,105,63,140,140,291,382,0.5680288476095238
C0559,43,18,17,6,8,43,43,68,78,0.6502657410195707
C0560,259,234,223,169,159,259,259,472,565,0.5341804949706773
C0561,74,43,36,37,43,74,74,140,206,0.354692365930659
C0562,1,7,3,6,5,1,1,11,21,0.3956003124037244
C0563,15,28,12,29,22,15,15,54,99,0.27152743653973743
C0564,342,295,277,232,237,342,342,615,755,0.4279433326978537
C0565,230,47,66,81,58,230,230,290,366,0.5846195517669264
C0566,163,79,107,82,83,163,163,289,383,0.5503480140501888
C0567,4,14,14,6,18,4,4,32,55,0.48417073428939966
C0568,0,0,0,2,0,0,0,0,2,0.0
C0569,405,363,283,355,313,405,405,764,1079,0.5684021684357011
C0570,184,136,107,175,154,184,184,357,555,0.5408090436282827
C0571,78,57,38,43,45,78,78,162,231,0.349529920136374
C0572,362,326,326,252,136,362,362,770,918,0.43665804162535077
C0573,1,0,0,0,0,1,1,1,1,0.0
C0574,75,51,56,40,48,75,75,157,217,0.38871652705515664
C0575,180,252,225,242,206,180,180,519,747,0.5376927900992562
C0576,542,375,319,180,115,542,542,897,1009,0.6403550258237642
C0577,507,395,269,150,115,507,507,795,875,0.6589234880273769
C0578,128,145,136,113,118,128,128,322,438,0.520694764480679
C0579,6,3,4,1,9,6,6,13,23,0.2399039696023332
C0580,0,5,1,1,0,0,0,6,7,0.3609660822394941
C0581,133,158,117,149,128,133,133,340,505,0.41049490107361136
C0582,242,253,222,256,208,242,242,544,764,0.46990349948196486
C0583,127,94,119,100,125,127,127,265,387,0.5032869780841093
C0584,173,245,251,281,294,173,173,432,646,0.537764900483745
C0585,36,12,12,27,26,36,36,48,77,0.5615826325389247
C0586,115,170,172,121,146,115,115,321,405,0.5598925228432353
C0587,468,464,395,331,329,468,468,1048,1347,0.4203767805184943
C0588,12,14,6,1,7,12,12,32,40,0.1623455111886018
C0589,30,29,21,27,41,30,30,64,107,0.2645228188225418
C0590,166,145,143,158,203,166,166,366,588,0.44363337619061405
C0591,54,67,43,50,32,54,54,151,209,0.5855251512424482
C0592,598,536,449,348,293,598,598,1119,1347,0.5546190073085331
C0593,880,675,492,371,281,880,880,1399,1598,0.6192553180847797
C0594,104,60,46,29,21,104,104,197,240,0.3554158069279859
C0595,0,0,0,0,0,0,0,0,0,0.0
C0596,16,8,30,13,11,16,16,50,67,0.33032951776884195
C0597,154,100,51,32,23,154,154,260,296,0.5601706457685656
C0598,646,502,265,178,139,646,646,992,1092,0.6057482374694552
C0599,0,0,3,1,0,0,0,3,4,0.8159050004285265
C0600,243,143,113,72,26,243,243,404,460,0.5751986356247716
C0601,80,100,131,130,86,80,80,255,371,0.509054201539549
C0602,438,519,403,332,265,438,438,930,1091,0.6860063903283952
C0603,689,644,497,492,394,689,689,1348,1724,0.617010397694922
C0604,289,251,199,189,141,289,289,567,723,0.5390756958374942
C0605,130,92,36,47,63,130,130,210,265,0.6367511660112217
C0606,334,166,183,144,159,334,334,544,681,0.3867131484083146
C0607,69,123,69,58,64,69,69,238,319,0.3828868543358641
C0608,64,75,68,67,57,64,64,179,260,0.4111566944211496
C0609,72,53,68,61,52,72,72,170,248,0.39260669489431976
C0610,0,0,0,0,0,0,0,0,0,0.0
C0611,15,14,7,1,3,15,15,33,36,0.10060966125357655
C0612,55,68,17,14,33,55,55,134,172,0.2778424735973716
C0613,30,23,26,27,31,30,30,70,112,0.4427163245672719
C0614,60,60,42,70,52,60,60,131,210,0.2976232063304233
C0615,129,134,121,116,121,129,129,305,425,0.4267860833807159
C0616,576,442,410,365,327,576,576,922,1100,0.6400156111526194
C0617,20,6,14,2,15,20,20,39,55,0.40782389095305516
C0618,31,16,19,35,34,31,31,63,123,0.5290487097509305
C0619,282,136,102,106,89,282,282,453,578,0.522658350873998
C0620,0,4,7,0,0,0,0,11,11,0.392896549650801
C0621,16,12,9,16,16,16,16,37,68,0.14473272147064214
C0622,315,290,234,255,259,315,315,574,767,0.3669954879230026
C0623,275,174,116,67,58,275,275,463,535,0.5467535407562244
C0624,304,221,117,80,37,304,304,520,576,0.5880064527104536
C0625,127,105,107,102,47,127,127,314,427,0.4487877630658305
C0626,160,101,114,77,74,160,160,330,427,0.4693298690551668
C0627,58,76,50,37,45,58,58,145,188,0.44604934636683263
C0628,6,10,3,9,8,6,6,19,34,0.3397284876395022
C0629,68,67,79,62,48,68,68,177,242,0.5191688021139498
C0630,232,231,235,247,274,232,232,566,824,0.4244746492002063
C0631,202,198,125,120,80,202,202,458,600,0.48199804505547683
C0632,131,88,90,63,93,131,131,259,368,0.5013176601526431
C0633,376,325,295,226,233,376,376,684,837,0.4470706363795402
C0634,579,471,407,295,297,579,579,1037,1234,0.5310907368019876
C0635,104,92,81,60,60,104,104,221,273,0.5574233533107524
C0636,235,194,177,112,111,235,235,419,503,0.5382246179050058
C0637,48,32,32,13,25,48,48,94,117,0.40077853466686275
C0638,32,30,25,20,13,32,32,77,106,0.3180947360010047
C0639,0,1,0,0,0,0,0,1,1,0.25320998117657517
C0640,0,0,0,0,0,0,0,0,0,0.0
C0641,3,0,0,0,0,3,3,3,3,0.3807423947176391
C0642,340,377,300,185,118,340,340,780,933,0.5627414370436086
C0643,12,4,16,3,7,12,12,28,36,0.47243180317962996
C0644,173,136,138,95,168,173,173,387,546,0.5030543852527015
C0645,55,59,54,51,39,55,55,154,223,0.28030263333736055
C0646,44,44,50,40,53,44,44,118,193,0.3591435884975181
C0647,157,133,106,114,117,157,157,301,424,0.3521124474949253
C0648,25,29,36,21,13,25,25,82,110,0.5136971094297779
C0649,0,0,0,0,0,0,0,0,0,0.0
C0650,108,55,70,45,59,108,108,188,238,0.41172078542647017
C0651,343,313,250,238,216,343,343,645,825,0.4746805781612949
C0652,3,5,9,1,4,3,3,17,22,0.3381617547672035
C0653,132,115,94,87,83,132,132,237,277,0.3328900659423452
C0654,18,14,6,11,1,18,18,38,49,0.1953506886847247
C0655,0,0,1,0,0,0,0,1,1,0.3741013208493563
