category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0355,452,536,421,487,489,452,452,1118,1594,0.40030233116904973
C0356,151,71,59,49,47,151,151,270,355,0.2546868492115559
C0357,751,374,367,302,283,751,751,1208,1505,0.46431578018790914
C0358,1310,1167,1135,1042,1017,1310,1310,2312,2784,0.6187255118112853
C0359,9,3,0,4,0,9,9,12,16,0.06333072353838137
C0360,551,366,296,281,282,551,551,935,1180,0.622491454827474
C0361,0,7,17,1,2,0,0,24,27,0.2240321703099885
C0362,1085,960,959,859,838,1085,1085,2072,2603,0.5782408482300573
C0363,236,381,357,267,299,236,236,795,1081,0.43481958549604766
C0364,577,451,416,425,429,577,577,1004,1288,0.5184455947447172
C0365,42,37,36,38,28,42,42,111,172,0.18891292335741372
C0366,486,392,391,268,320,486,486,988,1247,0.5704683266649405
C0367,1046,755,684,693,637,1046,1046,1851,2419,0.44818508388700184
C0368,520,350,299,292,354,520,520,926,1288,0.3720628604529376
C0369,1817,1577,1344,1182,1146,1817,1817,2919,3422,0.5976826893422088
C0370,145,122,96,82,82,145,145,321,426,0.39117570349461483
C0371,631,615,588,486,489,631,631,1372,1755,0.28397447870220965
C0372,137,130,180,167,147,137,137,415,669,0.19919779162117335
C0373,15,6,15,9,7,15,15,33,49,0.1517731184891105
C0374,13,2,1,1,2,13,13,14,17,0.4256707670362131
C0375,456,450,408,403,378,456,456,965,1292,0.3282151455018412
C0376,7,2,1,6,4,7,7,10,20,0.08926715067246903
C0377,6,1,5,12,1,6,6,12,25,0.06900807645374636
C0378,874,651,603,556,485,874,874,1461,1831,0.49668698547092327
C0379,343,262,286,286,246,343,343,749,1049,0.2094296149346706
C0380,226,153,183,193,180,226,226,501,759,0.1612439747439405
C0381,446,252,271,177,138,446,446,788,956,0.5087264533069025
C0382,1205,1054,1126,1016,1003,1205,1205,2371,3005,0.5485092254142803
C0383,854,680,661,545,445,854,854,1714,2132,0.3720690828866375
C0384,0,4,0,2,7,0,0,4,12,0.4907430586251926
C0385,578,397,392,397,388,578,578,942,1211,0.34143978429216815
C0386,652,675,588,573,576,652,652,1427,1877,0.2383232260712161
C0387,524,454,468,399,491,524,524,993,1285,0.5924703887462399
C0388,89,63,55,74,56,89,89,194,294,0.29120271535846814
C0389,977,697,637,646,585,977,977,1780,2326,0.34293602268014156
C0390,0,0,2,4,3,0,0,2,9,0.10428786108104877
C0391,554,480,479,419,319,554,554,1206,1610,0.3349351766643168
C0392,36,34,54,65,61,36,36,121,237,0.1158785529967356
C0393,1360,1129,1001,1075,971,1360,1360,2315,2921,0.48377058887237423
C0394,1188,915,810,733,559,1188,1188,2237,2782,0.3994710660977948
C0395,810,632,641,504,523,810,810,1542,1932,0.5156106041630512
C0396,31,33,39,18,36,31,31,100,149,0.026939101077300416
C0397,4,0,0,1,1,4,4,4,6,0.0
C0398,782,613,679,675,601,782,782,1619,2227,0.4821880824314953
C0399,326,313,376,459,400,326,326,866,1327,0.5329047335800825
C0400,783,531,440,319,369,783,783,1506,1880,0.26867022559531284
C0401,215,170,193,167,132,215,215,529,760,0.07427411610894095
C0402,1346,1005,994,900,913,1346,1346,2325,2891,0.43272738519286885
C0403,51,28,54,49,23,51,51,128,191,0.14063935050156862
C0404,39,30,11,23,19,39,39,79,115,0.1543091438860247
C0405,1319,943,776,853,754,1319,1319,2187,2776,0.39285619526226173
C0406,501,185,151,110,135,501,501,739,895,0.21640481127822578
C0407,1287,1036,796,709,590,1287,1287,1969,2290,0.691031569874213
C0408,542,414,357,419,376,542,542,1018,1377,0.3812242894868024
C0409,1155,924,820,771,761,1155,1155,2003,2483,0.4120237089283283
C0410,117,94,120,108,110,117,117,308,476,0.418175470444373
C0411,9,1,4,14,4,9,9,14,32,0.03163723931426701
C0412,729,588,570,478,462,729,729,1359,1708,0.49969492903045404
C0413,10,5,15,23,14,10,10,30,63,0.3313915808744714
C0414,1099,713,706,596,561,1099,1099,1817,2248,0.41990090749187864
C0415,254,254,210,178,193,254,254,650,915,0.24159178728599118
C0416,270,308,231,292,225,270,270,655,923,0.44800235050771453
C0417,958,882,791,651,590,958,958,1888,2345,0.4891824115320931
C0418,263,191,99,150,82,263,263,524,712,0.1440967311019496
C0419,336,287,255,273,198,336,336,730,988,0.6201620426646369
C0420,697,491,442,419,394,697,697,1164,1422,0.3956618923407996
C0421,285,211,212,221,274,285,285,617,924,0.2685725772930926
C0422,18,15,10,12,12,18,18,42,64,0.15479090055715158
C0423,1554,1631,1263,1041,928,1554,1554,3235,3974,0.3776068670845177
C0424,928,638,766,583,586,928,928,1702,2105,0.37882603757150174
C0425,226,154,146,152,118,226,226,470,650,0.25340806591612874
C0426,141,107,76,73,56,141,141,297,394,0.44070574536945945
C0427,159,117,149,132,156,159,159,393,608,0.13071485131536356
C0428,975,615,527,523,413,975,975,1799,2298,0.3829287813494143
C0429,821,899,886,932,852,821,821,1872,2496,0.4430205892460214
C0430,289,233,301,327,296,289,289,678,1037,0.22749567433379278
C0431,1164,954,855,813,696,1164,1164,1989,2396,0.5940740306866761
C0432,13,23,36,27,23,13,13,71,118,0.15202811896947951
C0433,193,81,79,90,81,193,193,332,463,0.36877634141505083
C0434,4,2,0,4,16,4,4,6,25,0.017604953771133566
C0435,653,475,399,448,387,653,653,1290,1760,0.2488313644656804
C0436,1936,1327,1059,892,766,1936,1936,2613,2893,0.6328036699710241
C0437,1416,606,561,516,484,1416,1416,1954,2306,0.3368107503968753
C0438,26,17,20,28,31,26,26,63,119,0.12989272755208692
C0439,223,188,184,162,151,223,223,497,682,0.21821400689612067
C0440,156,130,168,195,190,156,156,406,683,0.33513865525581477
C0441,70,89,53,60,63,70,70,183,272,0.5312033962452608
C0442,1,1,1,0,2,1,1,3,5,0.0
C0443,1093,812,736,631,600,1093,1093,1961,2431,0.42173334585261174
C0444,69,40,42,21,23,69,69,144,179,0.1805100911017176
C0445,449,448,436,355,393,449,449,980,1267,0.287584008279747
C0446,1410,843,770,655,533,1410,1410,2254,2665,0.4241688252660562
C0447,66,27,27,42,24,66,66,115,175,0.1513881704530947
C0448,736,673,594,472,541,736,736,1641,2205,0.3352441750220466
C0449,24,21,14,14,14,24,24,56,80,0.37649253403590505
C0450,263,233,222,246,226,263,263,602,913,0.2649005058993676
C0451,712,655,523,560,528,712,712,1392,1825,0.35019391015385565
C0452,846,707,667,590,524,846,846,1701,2190,0.3545460743392921
