category_id,period,papers
C0623,2020Q3,13
C0386,2020Q3,159
C0379,2021Q2,86
C0609,2020Q1,14
C0018,2020Q2,36
C0196,2020Q4,193
C0202,2021Q2,201
C0330,2021Q3,192
C0298,2021Q3,107
C0378,2021Q2,111
C0153,2021Q2,79
C0403,2020Q1,166
C0359,2021Q1,2
C0236,2020Q2,82
C0472,2020Q1,347
C0237,2020Q2,240
C0678,2021Q1,43
C0460,2020Q3,104
C0269,2021Q3,152
C0120,2021Q1,142
C0138,2020Q1,242
C0195,2020Q1,217
C0247,2020Q3,114
C0299,2020Q4,14
C0072,2021Q3,110
C0056,2020Q1,236
C0320,2021Q3,105
C0287,2021Q2,65
C0258,2021Q1,357
C0484,2020Q1,235
C0486,2020Q4,240
C0486,2020Q1,342
C0122,2020Q3,346
C0539,2020Q4,8
C0385,2020Q2,104
C0439,2020Q2,57
C0460,2021Q2,108
C0037,2021Q1,450
C0396,2020Q2,42
C0070,2020Q2,102
C0312,2020Q2,68
C0159,2021Q2,104
C0307,2020Q4,160
C0126,2021Q2,240
C0280,2020Q1,205
C0289,2021Q1,175
C0020,2020Q1,217
C0130,2020Q3,116
C0277,2020Q2,127
C0089,2021Q2,131
C0414,2020Q4,127
C0272,2020Q1,144
C0527,2020Q1,50
C0125,2020Q3,145
C0208,2020Q1,163
C0371,2021Q3,86
C0405,2020Q4,126
C0342,2021Q3,140
C0164,2020Q1,139
C0315,2020Q3,148
C0366,2020Q1,143
C0122,2021Q2,362
C0293,2021Q2,165
C0435,2020Q2,116
C0459,2021Q2,160
C0029,2020Q1,134
C0104,2020Q2,111
C0393,2020Q3,160
C0609,2020Q4,8
C0387,2020Q3,113
C0529,2021Q1,12
C0045,2021Q3,209
C0031,2020Q2,114
C0016,2021Q3,136
C0035,2020Q1,17
C0221,2020Q1,346
C0623,2021Q2,8
C0137,2021Q2,144
C0129,2020Q1,266
C0370,2020Q1,16
C0083,2020Q1,200
C0235,2021Q2,157
C0082,2020Q3,79
C0360,2020Q3,146
C0354,2020Q4,191
C0302,2020Q1,109
C0328,2020Q2,199
C0141,2020Q2,147
C0066,2020Q4,88
C0362,2020Q1,406
C0493,2020Q1,293
C0409,2020Q3,128
C0103,2020Q1,229
C0021,2020Q3,147
C0171,2021Q1,161
C0247,2021Q2,152
C0700,2020Q3,64
C0306,2020Q2,127
C0019,2020Q3,110
C0219,2020Q3,103
C0531,2021Q1,9
C0123,2020Q2,86
C0055,2020Q1,151
C0013,2021Q2,38
C0258,2021Q3,265
C0019,2021Q2,130
C0412,2020Q2,81
C0414,2020Q1,167
C0224,2020Q3,97
C0080,2020Q4,218
C0593,2021Q3,51
C0143,2020Q1,283
C0300,2021Q3,111
C0093,2021Q2,94
C0707,2021Q1,6
C0332,2020Q2,39
C0149,2020Q3,116
C0172,2020Q3,161
C0478,2021Q3,170
C0307,2020Q1,204
C0144,2021Q1,130
C0238,2020Q1,65
C0030,2020Q1,18
