category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
C0352,930,570,555,553,476,930,930,1605,2158,0.23682146688090305
C0353,113,88,51,35,62,113,113,230,309,0.17991432656618725
C0354,1384,1366,1241,1106,1063,1384,1384,2931,3756,0.37066097770206313
C0355,885,927,834,889,899,885,885,1856,2485,0.43307360624332664
C0356,153,95,87,62,74,153,153,319,433,0.24877435971241793
C0357,1233,790,707,535,525,1233,1233,2023,2388,0.4913797159929235
C0358,1504,1339,1305,1207,1146,1504,1504,2594,3093,0.5921023384436266
C0359,10,3,0,5,0,10,10,13,18,0.06364125087938036
C0360,1251,1052,849,808,781,1251,1251,2053,2527,0.5942283490941247
C0361,3,14,19,1,5,3,3,35,41,0.2336840803465958
C0362,1601,1500,1482,1370,1337,1601,1601,2915,3595,0.5287316035405609
C0363,381,550,548,528,445,381,381,1138,1578,0.41866015452836713
C0364,688,555,515,525,530,688,688,1190,1515,0.48988371784947315
C0365,51,47,37,38,39,51,51,128,200,0.16329392781547528
C0366,1063,851,855,646,693,1063,1063,1938,2389,0.5377810478273632
C0367,1405,1111,1012,998,947,1405,1405,2435,3139,0.4528982763590074
C0368,793,615,571,526,535,793,793,1460,1925,0.40680417248619954
C0369,1934,1704,1490,1268,1241,1934,1934,3139,3649,0.5976519862649795
C0370,212,214,156,101,100,212,212,468,577,0.41899381459366386
C0371,764,770,724,607,622,764,764,1654,2121,0.2691616458681823
C0372,315,321,340,317,287,315,315,858,1282,0.1988001634123119
C0373,15,6,16,11,7,15,15,34,52,0.13685673363239798
C0374,18,3,8,5,3,18,18,27,35,0.5600553203534067
C0375,563,561,490,479,459,563,563,1167,1533,0.2926984981674055
C0376,12,2,5,6,7,12,12,18,31,0.13900058343225108
C0377,6,4,7,14,1,6,6,17,32,0.0805421085576241
C0378,1220,976,849,802,727,1220,1220,1971,2437,0.479484327214803
C0379,535,421,437,414,354,535,535,1118,1500,0.2409320561504725
C0380,321,234,272,276,272,321,321,710,1056,0.15160484790376152
C0381,598,375,351,234,185,598,598,1011,1210,0.5080589891355307
C0382,1776,1639,1595,1481,1527,1776,1776,3234,4021,0.5356745464264064
C0383,1145,1035,995,771,696,1145,1145,2345,2895,0.35887152862195953
C0384,12,4,0,8,7,12,12,16,30,0.18829432404753801
C0385,876,653,604,637,580,876,876,1392,1754,0.3319992436046218
C0386,837,809,704,676,678,837,837,1708,2200,0.21792803582247633
C0387,709,669,671,542,674,709,709,1358,1726,0.5440592632800878
C0388,97,74,62,82,58,97,97,216,320,0.2774202661438314
C0389,1005,787,698,708,658,1005,1005,1902,2507,0.31468604351711355
C0390,0,1,2,4,6,0,0,3,13,0.1078038784692585
C0391,832,810,769,626,539,832,832,1808,2321,0.35362624528141556
C0392,39,39,60,70,70,39,39,136,265,0.10335453944322251
C0393,1578,1323,1263,1286,1184,1578,1578,2693,3329,0.45867916214049215
C0394,1455,1237,1127,953,816,1455,1455,2779,3406,0.384138587936492
C0395,1123,994,942,793,845,1123,1123,2092,2604,0.4968252552786697
C0396,77,85,83,59,78,77,77,229,344,0.03249242013123251
C0397,8,0,0,1,1,8,8,8,10,0.0
C0398,1402,1215,1165,1089,1018,1402,1402,2626,3323,0.4867790723443918
C0399,1457,1514,1463,1416,1356,1457,1457,2891,3647,0.5299530620898686
C0400,920,668,610,429,497,920,920,1834,2302,0.26300414337066236
C0401,329,263,335,268,245,329,329,831,1213,0.05149416671523689
C0402,1568,1280,1276,1112,1178,1568,1568,2773,3421,0.40124932349832076
C0403,190,156,181,141,133,190,190,468,664,0.15856910069794256
C0404,53,40,13,26,36,53,53,103,156,0.15866307686282466
C0405,1381,1032,895,953,863,1381,1381,2352,2972,0.37129997875774795
C0406,756,331,290,251,259,756,756,1139,1428,0.2267079925197605
C0407,1446,1187,933,797,685,1446,1446,2174,2487,0.6945368272525241
C0408,810,734,622,656,558,810,810,1545,1980,0.36653357193791225
C0409,1241,1043,916,878,867,1241,1241,2175,2706,0.3841089742960878
C0410,1014,971,912,888,895,1014,1014,2019,2712,0.4919909804350465
C0411,16,12,8,18,7,16,16,36,61,0.14420130422681543
