family,trial,spearman,top20_overlap,max_rank_shift,weight_volume,weight_citation,weight_institutions,weight_persistence,weight_current,weight_multiyear_growth,weight_recent_growth,weight_trend,weight_quarter_consistency,weight_institution_expansion,weight_patents,weight_policies,weight_relative_share,weight_papers
core,18,0.9998499513566329,1.0,10.0,0.44915427770613464,0.19504582062896908,0.12619895690253455,0.13679994065381673,0.09280100410854494,,,,,,,,,
core,19,0.9998642074177628,1.0,12.0,0.3460451959961578,0.20135223461705593,0.17890692723263943,0.16398873289153956,0.10970690926260718,,,,,,,,,
core,20,0.999650942503283,1.0,14.0,0.35825456186664545,0.17927625844397285,0.17806202161117293,0.18817570100575234,0.0962314570724565,,,,,,,,,
core,21,0.9989913716750433,0.95,20.0,0.3693771365765531,0.22644586569792963,0.15983648247074966,0.15652029837973708,0.0878202168750306,,,,,,,,,
core,22,0.9996010702894309,1.0,13.0,0.3779559499202924,0.21209275665279576,0.16498258367042157,0.163872787410702,0.08109592234578829,,,,,,,,,
core,23,0.9998810074898016,1.0,8.0,0.43223409584699174,0.20747892940872115,0.13954784305062504,0.1366728944040547,0.08406623728960742,,,,,,,,,
core,24,0.999821151233138,1.0,9.0,0.40507522473267543,0.20934125151630747,0.15738854228221355,0.13135718944386654,0.09683779202493695,,,,,,,,,
core,25,0.9999379837341159,1.0,7.0,0.3848928930152463,0.19310847258746675,0.15526413034339115,0.16124879611805562,0.10548570793584021,,,,,,,,,
core,26,0.9996258863958424,1.0,12.0,0.4234236237826194,0.17983386790716946,0.15664372293776438,0.1514749938739384,0.08862379149850827,,,,,,,,,
core,27,0.9998020951514256,1.0,10.0,0.38268886585227646,0.21317840565460294,0.12889175878397988,0.15749127428292706,0.11774969542621361,,,,,,,,,
core,28,0.9999047195914791,1.0,8.0,0.39695243159160937,0.19052337365996866,0.16690197951707123,0.1591190666362703,0.08650314859508068,,,,,,,,,
core,29,0.9997434388999075,1.0,9.0,0.4035027345617938,0.18758179085630455,0.13716502371902126,0.16645649526194053,0.1052939556009399,,,,,,,,,
core,30,0.9997580309624783,1.0,9.0,0.42695317672982364,0.1864000630687845,0.14279403500929333,0.15021110502833665,0.09364162016376183,,,,,,,,,
core,31,0.9999802239152418,1.0,4.0,0.4053549388706656,0.20235768861422704,0.1367050827671446,0.1541469551654847,0.10143533458247807,,,,,,,,,
core,32,0.9984813214879479,1.0,27.0,0.4388068981695292,0.15893833034515797,0.15970026859048,0.13570293784520013,0.10685156504963281,,,,,,,,,
core,33,0.9997885590933828,0.95,9.0,0.42301320093727074,0.21436650204254573,0.13281198631490246,0.13251769232933772,0.09729061837594336,,,,,,,,,
core,34,0.9989287794066476,0.95,24.0,0.3566503398359476,0.23253838584814582,0.12942115446210287,0.17937417309812245,0.10201594675568128,,,,,,,,,
core,35,0.9994564936694864,0.95,15.0,0.4175856977541451,0.22411018917279488,0.12821512745451313,0.12955149726205803,0.10053748835648892,,,,,,,,,
core,36,0.9995468780570547,1.0,13.0,0.43159963141952984,0.17796687473689726,0.15800113686103925,0.1484575414069577,0.08397481557557594,,,,,,,,,
core,37,0.9992391487375114,0.95,19.0,0.41749187622886,0.22166937816617513,0.15487210888578684,0.12474173029740813,0.08122490642176992,,,,,,,,,
core,38,0.998034487571924,0.95,34.0,0.35603434808137097,0.2413399038131057,0.15024329581889548,0.12761262509552151,0.12476982719110644,,,,,,,,,
core,39,0.9986812423452086,0.95,25.0,0.41112495502867963,0.23766566832182193,0.12449364101415222,0.13436684915749936,0.09234888647784685,,,,,,,,,
core,40,0.9991158842089529,1.0,18.0,0.4238589261965911,0.16748054772267185,0.16219902517400972,0.1474716975518283,0.09898980335489901,,,,,,,,,
core,41,0.9990496439249147,0.95,23.0,0.3998259200262843,0.23134079849066475,0.12774438623088494,0.12603519554014767,0.11505369971201831,,,,,,,,,
core,42,0.9997488149229599,1.0,10.0,0.39682775085719113,0.21318486521529373,0.14964007256110196,0.13157701525099857,0.10877029611541464,,,,,,,,,
core,43,0.9995991982814039,0.95,13.0,0.38932545714677236,0.22087175168998827,0.12956007590256635,0.14662725606693322,0.11361545919373976,,,,,,,,,
core,44,0.9998986235653393,1.0,7.0,0.44415268212130904,0.2046343416462284,0.12918331754271886,0.14060840846033662,0.08142125022940697,,,,,,,,,
core,45,0.9998967035571065,1.0,8.0,0.4088668186128828,0.19840961657887687,0.13982241300257509,0.13721189790919358,0.11568925389647158,,,,,,,,,
core,46,0.9997223188093447,0.95,13.0,0.4221105013553108,0.21786329853182435,0.11399789811286037,0.1360990184948117,0.10992928350519277,,,,,,,,,
core,47,0.9998242232463109,1.0,10.0,0.4024632961495793,0.20389553948913808,0.15710788844291035,0.1601576700352831,0.07637560588308914,,,,,,,,,
core,48,0.9984748894603676,1.0,26.0,0.46751076394121,0.1627455031235534,0.13732216877173714,0.13913027962315702,0.09329128454034234,,,,,,,,,
core,49,0.9975757976050614,0.95,27.0,0.36004022200774183,0.24377905197324054,0.16164119404238772,0.14260937231395687,0.091930159662673,,,,,,,,,
core,50,0.999935727724442,1.0,6.0,0.4035153092466568,0.19834273669839925,0.16616461090219764,0.14307281433323354,0.08890452881951283,,,,,,,,,
core,51,0.9996981267056088,1.0,15.0,0.45026185190382356,0.18705965053359433,0.1443446334556698,0.11954152789211721,0.09879233621479512,,,,,,,,,
core,52,0.9998255192518681,1.0,9.0,0.39449939465550937,0.20932978295175295,0.1581905049073178,0.13552656538400876,0.10245375210141121,,,,,,,,,
core,53,0.9996806066304829,1.0,11.0,0.3959736673258917,0.1894735515183202,0.13245490854405623,0.16025914323982118,0.12183872937191075,,,,,,,,,
core,54,0.9995021418652258,1.0,23.0,0.3576767327617518,0.2143104559624441,0.17175741206480796,0.1344152217681496,0.1218401774428466,,,,,,,,,
core,55,0.9990063477392604,1.0,18.0,0.4207994134801895,0.17208467824008286,0.13269358289368122,0.16468738622274223,0.10973493916330418,,,,,,,,,
core,56,0.9999201756577547,1.0,7.0,0.3894790712741356,0.19835876984544357,0.1760391319822479,0.1423476793172612,0.09377534758091177,,,,,,,,,
core,57,0.999580478201132,1.0,13.0,0.37731631367453605,0.1751157377707112,0.1823561409006509,0.17501772349240166,0.09019408416170023,,,,,,,,,
core,58,0.9986511942163623,0.95,22.0,0.44103983020347287,0.16277670042401793,0.1477242185299661,0.1699259402644633,0.0785333105780798,,,,,,,,,
core,59,0.9997899510993519,1.0,13.0,0.415912728738712,0.18856863787636408,0.15659858146223493,0.12868306639624663,0.11023698552644233,,,,,,,,,
core,60,0.9993555012364308,1.0,17.0,0.47334165632100006,0.18016396597574777,0.12622646575635488,0.13167044166515057,0.08859747028174676,,,,,,,,,
core,61,0.9987041384433871,1.0,28.0,0.4517010498031279,0.16717531456254195,0.14014097227441574,0.1279644073574091,0.1130182560025051,,,,,,,,,
core,62,0.9998417913216429,0.95,9.0,0.42702333227192574,0.2131475800347065,0.12682494746770198,0.13728838600988066,0.09571575421578525,,,,,,,,,
core,63,0.9998697754416387,1.0,9.0,0.4323977265890809,0.19320748725107287,0.13712449096714752,0.13671900934013895,0.10055128585255992,,,,,,,,,
core,64,0.9996944786899661,1.0,13.0,0.4189247045613816,0.18450715704259907,0.15046171921954193,0.16694452205236415,0.07916189712411341,,,,,,,,,
core,65,0.9994840457876298,1.0,19.0,0.43393344965902403,0.17531951026715425,0.1730864023346037,0.12335386818125257,0.09430676955796538,,,,,,,,,
core,66,0.9988623951219918,1.0,21.0,0.43394802626330825,0.1637950650675297,0.16233912462750924,0.16262374534089696,0.07729403870075581,,,,,,,,,
core,67,0.9994525096524028,0.95,17.0,0.4337255392595077,0.22509547380337908,0.11877898892907146,0.12051562078398781,0.10188437722405398,,,,,,,,,
core,68,0.9993849253626015,1.0,15.0,0.4209883572427383,0.17965672120164727,0.12986811308373164,0.16207039478250168,0.10741641368938103,,,,,,,,,
core,69,0.9998017111497788,1.0,11.0,0.37265438137416335,0.21105035869484173,0.12938202962174153,0.1654437998127592,0.12146943049649421,,,,,,,,,
core,70,0.9999570398158283,1.0,6.0,0.38736194616849934,0.19757219781578117,0.16368754952029527,0.15994684346760196,0.09143146302782236,,,,,,,,,
