doc_id,source,date,topic_1_id,topic_1_cosine,top1_top2_margin,needs_review,similarity_filter_passed,category_id
patent:CN202210074415.8,patent,2026-02-03,149,0.7693553,0.014762819,True,True,N0150
patent:CN202210104559.3,patent,2026-05-26,9,0.72122234,0.0017969012,True,True,N0010
patent:CN202210187736.9,patent,2026-03-31,420,0.63660926,0.006953895,True,False,N0421
patent:CN202210188224.4,patent,2026-02-13,195,0.70142853,0.0044502616,True,True,N0196
patent:CN202210237650.2,patent,2025-05-16,23,0.6538732,0.017664671,True,False,N0024
patent:CN202210263402.5,patent,2026-05-05,479,0.6721728,0.004226446,True,False,N0480
patent:CN202210288253.8,patent,2026-05-12,33,0.7028315,0.009341955,True,True,N0034
patent:CN202210344792.9,patent,2026-02-24,355,0.74862707,0.0060017705,True,True,N0356
patent:CN202210463248.6,patent,2026-01-27,180,0.7416772,0.0032274127,True,True,N0181
patent:CN202210464678.X,patent,2026-03-13,195,0.7190648,0.015787005,True,True,N0196
patent:CN202210567276.2,patent,2026-05-01,355,0.73507416,0.03382802,True,True,N0356
patent:CN202210581769.1,patent,2026-05-01,7,0.7830464,0.003908038,True,True,N0008
patent:CN202210623972.0,patent,2026-01-13,23,0.7205706,0.009421468,True,True,N0024
patent:CN202210625849.2A,patent,2025-04-08,359,0.75339925,0.009713113,True,True,N0360
patent:CN202210658185.X,patent,2026-01-27,235,0.72748315,0.0060194135,True,True,N0236
patent:CN202210701830.1,patent,2026-02-17,23,0.67634845,0.009056568,True,False,N0024
patent:CN202210763162.5,patent,2026-03-06,23,0.73004717,0.023987293,True,True,N0024
patent:CN202210774962.7,patent,2026-03-06,244,0.7763901,0.015854716,True,True,N0245
patent:CN202210839209.1,patent,2026-02-17,348,0.6987368,0.00055766106,True,False,N0349
patent:CN202210854516.7,patent,2026-04-24,244,0.7452752,0.0117794275,True,True,N0245
patent:CN202210903853.0,patent,2026-03-27,222,0.73044604,0.0097183585,True,True,N0223
patent:CN202210951346.4,patent,2026-04-28,457,0.7367314,0.010164976,True,True,N0458
patent:CN202210956396.1A,patent,2025-10-28,455,0.7548801,0.025571585,True,True,N0456
patent:CN202210966108.0,patent,2026-02-27,104,0.73425204,6.8843365e-05,True,False,N0105
patent:CN202210987112.5,patent,2026-05-29,165,0.72751343,0.009830356,True,True,N0166
patent:CN202210994776.4,patent,2026-04-14,165,0.69652396,0.0035656095,True,True,N0166
patent:CN202211023626.5,patent,2026-05-01,154,0.75090945,0.0009225607,True,False,N0155
patent:CN202211084173.7,patent,2026-05-26,28,0.7304754,0.0007915497,True,False,N0029
patent:CN202211114973.9,patent,2026-05-08,459,0.7306362,0.007386923,True,True,N0460
patent:CN202211128866.1,patent,2026-03-06,472,0.73732376,0.008572936,True,True,N0473
patent:CN202211128896.2,patent,2026-03-03,165,0.73119617,0.0005541444,True,False,N0166
patent:CN202211166622.2A,patent,2025-05-09,399,0.75145,0.030183196,True,True,N0400
patent:CN202211196463.0,patent,2026-02-03,208,0.7561341,0.0025417805,True,True,N0209
patent:CN202211200817.4,patent,2026-03-27,194,0.7285176,0.03252238,True,True,N0195
patent:CN202211234301.1,patent,2026-04-21,359,0.69244874,0.006660342,True,True,N0360
patent:CN202211235335.2,patent,2026-03-06,33,0.7051797,0.01626724,True,True,N0034
patent:CN202211249716.6,patent,2026-04-21,277,0.74899685,0.002555132,True,True,N0278
patent:CN202211292762.4,patent,2026-04-28,33,0.71165967,0.021728933,True,True,N0034
patent:CN202211349255.X,patent,2025-11-14,442,0.6452184,0.006947458,True,False,N0443
patent:CN202211391299.9,patent,2026-04-07,186,0.6786782,0.003129661,True,False,N0187
patent:CN202211406084.X,patent,2026-05-01,190,0.78116316,0.01648283,True,True,N0191
patent:CN202211462795.9,patent,2026-03-27,115,0.7639251,0.024280071,True,True,N0116
patent:CN202211464499.2,patent,2026-03-13,23,0.71398306,0.0063692927,True,True,N0024
patent:CN202211464851.2,patent,2026-04-10,355,0.7393823,0.020597875,True,True,N0356
patent:CN202211471518.4,patent,2026-02-06,10,0.7805168,0.0013225079,True,False,N0011
patent:CN202211483974.0,patent,2026-03-24,247,0.69404256,0.00070238113,True,False,N0248
patent:CN202211508776.5,patent,2026-03-06,76,0.79408884,0.011136055,True,True,N0077
patent:CN202211575483.9,patent,2026-04-14,459,0.7051757,0.004795134,True,True,N0460
patent:CN202211579550.4,patent,2026-05-26,241,0.7336186,0.0005784035,True,False,N0242
patent:CN202211601204.1,patent,2026-03-17,433,0.6890077,0.0034444332,True,True,N0434
patent:CN202211626708.9,patent,2026-05-12,154,0.7227969,0.0034781694,True,True,N0155
patent:CN202211677908.7,patent,2026-04-21,351,0.7230046,0.014199257,True,True,N0352
patent:CN202211678728.0,patent,2026-04-10,351,0.7021563,0.0016661882,True,False,N0352
patent:CN202211697987.8,patent,2026-03-24,445,0.70405775,0.009211719,True,True,N0446
patent:CN202211718578.1,patent,2026-02-03,16,0.66025466,0.010851324,True,False,N0017
patent:CN202280053674.0,patent,2026-05-12,23,0.6508115,0.011808395,True,False,N0024
patent:CN202280099170.2,patent,2026-03-24,144,0.6864396,0.0010177493,True,False,N0145
patent:CN202280102636A,patent,2025-07-25,289,0.68194246,0.03784591,True,True,N0290
patent:CN202290000900.4,patent,2026-03-17,440,0.6258095,0.0013690591,True,False,N0441
patent:CN202310029272.3,patent,2026-03-27,470,0.7554833,0.003487289,True,True,N0471
patent:CN202310042749.1,patent,2026-02-17,27,0.7876482,0.01724577,True,True,N0028
patent:CN202310129206.3,patent,2026-01-30,1,0.6699625,0.0037378073,True,False,N0002
patent:CN202310151039.2,patent,2026-01-30,165,0.697942,0.024279475,True,True,N0166
patent:CN202310171831.4A,patent,2025-02-25,50,0.6766255,0.00093638897,True,False,N0051
patent:CN202310274571.3,patent,2026-05-26,1,0.6921251,0.0131700635,True,True,N0002
patent:CN202310302070.1,patent,2026-01-02,28,0.7298489,0.009847522,True,True,N0029
patent:CN202310317447.0,patent,2026-02-17,7,0.7834007,0.03763777,True,True,N0008
patent:CN202310358345.3,patent,2026-08-11,319,0.7404209,0.009288669,True,True,N0320
patent:CN202310364887.1,patent,2026-04-07,376,0.70862675,0.0070129633,True,True,N0377
patent:CN202310366206.5,patent,2026-03-24,376,0.7340179,0.010266364,True,True,N0377
patent:CN202310390716.6,patent,2026-05-05,24,0.7185781,0.00675261,True,True,N0025
patent:CN202310399713.9,patent,2026-01-02,334,0.8122019,0.007612288,True,True,N0335
patent:CN202310400076.2,patent,2026-02-10,459,0.7238762,0.0047083497,True,True,N0460
patent:CN202310401254.3,patent,2026-05-12,114,0.68625003,0.004628837,True,True,N0115
patent:CN202310417154.X,patent,2026-02-27,156,0.74809533,0.014611483,True,True,N0157
patent:CN202310449708.4,patent,2026-01-23,412,0.71040857,0.021888435,True,True,N0413
patent:CN202310451180.4,patent,2026-03-06,249,0.72325766,0.020006895,True,True,N0250
patent:CN202310495063.8,patent,2026-04-17,220,0.7178327,0.002635777,True,True,N0221
patent:CN202310513665.1,patent,2026-06-02,194,0.6456364,0.009641051,True,False,N0195
patent:CN202310593969.3,patent,2026-04-24,1,0.6562236,0.019517899,True,False,N0002
patent:CN202310594376.9,patent,2026-05-15,146,0.7774687,0.032041967,True,True,N0147
patent:CN202310619680.4,patent,2026-02-06,43,0.7349891,0.016139865,True,True,N0044
patent:CN202310640540.5,patent,2026-05-05,23,0.6454799,0.021642447,True,False,N0024
patent:CN202310668461.5,patent,2026-05-12,401,0.68213457,0.0015561581,True,False,N0402
patent:CN202310718168.5A,patent,2025-08-05,218,0.7684113,0.022797525,True,True,N0219
patent:CN202310725347.1,patent,2026-04-28,420,0.66313994,0.0025049448,True,False,N0421
patent:CN202310790518.9,patent,2026-01-13,460,0.7171506,0.008464932,True,True,N0461
patent:CN202310799202.6,patent,2026-01-27,226,0.62988067,0.003131926,True,False,N0227
patent:CN202310814572.2,patent,2026-03-24,479,0.7199008,0.010178149,True,True,N0480
patent:CN202310832786A,patent,2025-01-10,230,0.6908153,0.018093467,True,True,N0231
patent:CN202310845076.3,patent,2026-04-03,114,0.63754386,0.0042968392,True,False,N0115
patent:CN202310853759.3,patent,2026-05-08,424,0.66497135,0.0032215714,True,False,N0425
patent:CN202310893675.2,patent,2026-06-05,195,0.7116404,0.012095928,True,True,N0196
patent:CN202310896791.X,patent,2026-01-06,15,0.7504246,0.0035330057,True,True,N0016
patent:CN202310921565.2,patent,2026-05-12,23,0.7075131,0.014665902,True,True,N0024
patent:CN202310961344A,patent,2025-02-14,315,0.69340223,0.006548226,True,True,N0316
patent:CN202310963389.9,patent,2026-02-03,348,0.6900946,0.020669758,True,True,N0349
patent:CN202311014553A,patent,2025-02-21,78,0.7421756,0.008353472,True,True,N0079
patent:CN202311076283.3,patent,2025-05-13,433,0.74712574,0.013151348,True,True,N0434
patent:CN202311090950.3,patent,2026-01-09,60,0.7376038,0.0052235126,True,True,N0061
patent:CN202311096209.8,patent,2026-01-06,222,0.73181546,0.0037899017,True,True,N0223
patent:CN202311098203.4,patent,2026-04-14,389,0.63930845,0.0032993555,True,False,N0390
patent:CN202311121345A,patent,2025-03-04,30,0.7962949,0.005445361,True,True,N0031
patent:CN202311125685A,patent,2025-01-28,38,0.7071742,0.0138396025,True,True,N0039
patent:CN202311138322.8,patent,2026-03-06,369,0.7634177,0.017074347,True,True,N0370
patent:CN202311141178.3,patent,2026-04-07,33,0.71535707,0.014645696,True,True,N0034
patent:CN202311202560.0,patent,2026-04-10,476,0.67725223,0.0072736144,True,False,N0477
patent:CN202311241359.3,patent,2025-10-31,435,0.74831355,0.012026668,True,True,N0436
patent:CN202311256404.2,patent,2026-04-17,23,0.6557939,0.0055474043,True,False,N0024
patent:CN202311270963A,patent,2025-03-28,212,0.6640029,0.0015654564,True,False,N0213
patent:CN202311334480A,patent,2025-04-18,304,0.7764729,0.03692615,True,True,N0305
patent:CN202311368488.9,patent,2026-05-05,252,0.6734907,0.0034061074,True,False,N0253
patent:CN202311384699.1,patent,2026-05-26,322,0.6821469,0.002447188,True,True,N0323
patent:CN2023113905W,patent,2025-02-27,497,0.7254678,0.00049239397,True,False,N0498
patent:CN202311396766A,patent,2025-04-25,190,0.69862527,0.021793187,True,True,N0191
patent:CN202311399423A,patent,2025-01-28,120,0.74240315,0.04679203,True,True,N0121
patent:CN202311426457A,patent,2025-05-02,230,0.67106795,0.011482954,True,False,N0231
patent:CN202311458296A,patent,2025-05-06,322,0.7720948,0.027408123,True,True,N0323
patent:CN202311468368A,patent,2025-05-09,257,0.71172315,0.008856654,True,True,N0258
patent:CN202311470684.7,patent,2026-01-27,154,0.82707906,0.07081306,True,True,N0155
patent:CN202311533707.4,patent,2026-01-23,27,0.7530068,0.024890661,True,True,N0028
patent:CN2023115377W,patent,2025-01-02,29,0.70495486,0.004262507,True,True,N0030
patent:CN202311546444.0,patent,2026-04-21,1,0.66843337,0.0008084178,True,False,N0002
patent:CN2023115596W,patent,2025-03-06,46,0.75536716,0.022862077,True,True,N0047
patent:CN202311609191.7,patent,2026-04-03,463,0.67695165,0.016690731,True,False,N0464
patent:CN202311624964A,patent,2025-06-03,128,0.77368397,0.0061023235,True,True,N0129
patent:CN202311625536.8,patent,2026-05-29,326,0.7109293,0.0012308955,True,False,N0327
patent:CN202311660065A,patent,2025-03-14,15,0.74158406,0.014280021,True,True,N0016
patent:CN202311660965A,patent,2025-09-30,389,0.6360639,0.009687662,True,False,N0390
patent:CN202311666364.9,patent,2026-04-10,362,0.7290393,0.002464652,True,True,N0363
patent:CN202311785324.6,patent,2026-05-12,1,0.72025394,0.01007092,True,True,N0002
