category_id,year0_institutions,year1_institutions,year2_institutions,year3_institutions,year4_institutions,recent_institutions,core_institutions_1y,core_institutions_3y,core_institutions_5y,citation_cohort_percentile
N0351,45,9,18,32,47,45,45,71,145,0.40259266165101076
N0352,54,28,27,40,31,54,54,107,171,0.4297290307477813
N0353,42,27,25,16,19,42,42,92,122,0.6008985175675315
N0354,79,25,60,39,40,79,79,151,213,0.49543445629454735
N0355,24,15,3,10,16,24,24,42,67,0.38113055950004077
N0356,52,26,14,11,16,52,52,91,114,0.3273781625824161
N0357,1,23,20,16,18,1,1,42,73,0.4663698365521771
N0358,62,22,23,15,17,62,62,107,138,0.43107964181966296
N0359,16,11,17,42,26,16,16,42,102,0.2815163146129003
N0360,15,1,12,9,21,15,15,28,57,0.18300917113349868
N0361,28,45,31,11,14,28,28,99,121,0.3771880203716878
N0362,116,89,83,73,86,116,116,262,375,0.6628863132928114
N0363,23,6,23,14,15,23,23,50,78,0.31695963933884114
N0364,33,72,66,21,22,33,33,165,199,0.5523287799810142
N0365,25,42,35,26,33,25,25,98,153,0.5872331874907813
N0366,47,47,24,30,52,47,47,112,185,0.45988109698193114
N0367,15,16,35,27,21,15,15,63,99,0.5619507747025388
N0368,24,17,17,12,6,24,24,57,71,0.3994203102387604
N0369,48,23,14,11,19,48,48,84,113,0.21529618053214394
N0370,32,44,38,14,21,32,32,108,136,0.5490063444942433
N0371,39,29,39,51,25,39,39,105,169,0.5100427848068912
N0372,13,64,32,20,32,13,13,108,158,0.4353688612915438
N0373,39,21,28,23,17,39,39,82,118,0.4547063238724509
N0374,53,34,27,16,21,53,53,111,144,0.3775108335466237
N0375,26,18,19,19,17,26,26,63,97,0.31573514673516656
N0376,58,63,57,41,14,58,58,166,213,0.5087238801667391
N0377,28,12,24,16,15,28,28,63,94,0.4194962858937431
N0378,11,22,16,10,10,11,11,47,66,0.39812648268208894
N0379,13,2,10,2,14,13,13,25,41,0.4134966527779711
N0380,60,22,51,35,32,60,60,128,189,0.47993290266283173
N0381,96,37,38,26,25,96,96,166,209,0.4040721883052316
N0382,73,101,69,53,25,73,73,208,259,0.638873149790547
N0383,35,10,18,53,29,35,35,61,134,0.4004002217036815
N0384,35,16,48,36,32,35,35,96,151,0.341592555742833
N0385,49,24,25,19,18,49,49,95,129,0.45329648404881207
N0386,17,31,20,15,17,17,17,66,93,0.5703253217208958
N0387,11,52,32,12,25,11,11,92,123,0.5516817034410093
N0388,59,23,9,29,16,59,59,88,127,0.5035556677921834
N0389,77,53,37,51,55,77,77,150,228,0.5869686552710209
N0390,11,8,5,4,13,11,11,24,39,0.47047163893695615
N0391,47,38,41,49,40,47,47,122,196,0.502599387031105
N0392,2,11,8,41,20,2,2,21,81,0.5646757436382125
N0393,11,9,13,8,10,11,11,33,50,0.3869702631930772
N0394,8,9,9,0,3,8,8,26,28,0.2259042178625134
N0395,43,28,24,14,31,43,43,83,115,0.31619172889547775
N0396,38,14,49,31,30,38,38,99,151,0.3092021838658696
N0397,25,25,11,33,26,25,25,58,114,0.581844628977794
N0398,20,43,23,29,28,20,20,65,84,0.38704614039862584
