family,scenario,category_id,name,selected,core_papers,recent_papers,multiyear_share_ratio,share_growth_ratio,historical_peak_ratio,score
emerging,exclude_needs_review,C0566,蒸汽重整制氢与合成气,True,223,113,1.4613826490694537,1.8880777402751536,1.2863386595609612,90.73189522342064
emerging,exclude_needs_review,C0600,直接空气捕碳,True,348,164,1.5617880157269022,1.3751778903486669,1.3751778903486669,90.8859784283513
emerging,exclude_needs_review,C0665,换热器结构与传热强化,True,443,213,1.5265770183924143,1.35755464621046,1.35755464621046,87.98536209553158
emerging,exclude_needs_review,C0713,电价预测,True,341,171,1.7249133677329622,1.4336960984486098,1.4336960984486098,90.56625577812018
emerging,exclude_needs_review,C0725,废塑料回收与转化,True,382,181,1.3006198735811751,1.3525195796493352,1.1450342977915209,84.71879815100152
core,supported_only,C0060,超级电容器电极与器件,True,8795,3047,0.86353190092951,0.8805263912271192,0.84222224517178,98.9753466872111
core,supported_only,C0067,钙钛矿太阳能电池界面与器件性能,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0091,等离子体湍流与不稳定性,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0098,建筑与工业冷却节能,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0122,热电材料与热电性能优化,False,190,67,0.8857103763912,0.9375282934761436,0.6211306671008355,63.93682588597843
core,supported_only,C0155,电解水析氧催化,False,2156,689,0.7569147713034061,0.7872091220009946,0.721926339545979,97.78120184899846
core,supported_only,C0169,电池荷电状态健康状态与建模,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0186,煤热解气化与煤质特性,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0191,固态储氢材料与反应器,True,790,408,2.069917933201779,1.556307466647327,1.556307466647327,93.37249614791988
core,supported_only,C0210,地热资源开发与换热,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0216,电力可靠性与电气安全,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0245,碳基超级电容器电极,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0246,虚拟电厂资源聚合与调度,False,686,345,1.7795875100387206,1.5507430110373372,1.5507430110373372,89.49922958397536
core,supported_only,C0251,充电站选址与充电调度,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0254,电催化析氢与界面调控,True,1709,549,0.7348270858444045,0.8249244224135274,0.6803353065916609,96.8104776579353
core,supported_only,C0278,整体电催化水分解,False,588,180,0.6632818791428075,0.7709238574298404,0.5812684013044702,91.31548536209552
core,supported_only,C0294,电池管理与均衡控制,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0348,智能电网信息安全与韧性,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0381,光伏发电功率预测方法与装置,False,753,384,1.8424746427138048,1.48410447727953,1.48410447727953,88.94838212634824
core,supported_only,C0435,智能电表物联网与用能监测,False,200,112,2.158949483467466,1.7877791782503034,1.7877791782503034,66.08436055469954
core,supported_only,C0443,建筑能效与居民供热用能,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,47.75038520801233
core,supported_only,C0473,二氧化碳地质封存与驱油,False,285,113,1.2384458933676254,0.9671856565619518,0.9671856565619518,74.8555469953775
core,supported_only,C0533,氮化镓功率与结器件,False,820,423,1.7300921731551122,1.6637627815051603,1.581958538790665,88.52080123266565
core,supported_only,C0534,氢能技术经济与生命周期,False,896,417,1.6032845905645905,1.2632004050781735,1.2632004050781735,95.03081664098612
core,supported_only,C0542,光伏组件故障与缺陷检测,False,652,315,1.5849714456427066,1.4530645944163565,1.4530645944163565,88.43412942989214
core,supported_only,C0556,水系锌离子电池,True,3731,1435,1.1167670035564146,0.968313161340956,0.968313161340956,99.34514637904468
core,supported_only,C0566,蒸汽重整制氢与合成气,False,223,113,1.490846130793397,2.022297281902263,1.2647179539279008,71.84707241910631
core,supported_only,C0600,直接空气捕碳,False,348,164,1.610746134587135,1.4729364424257831,1.417206753324343,81.43104776579352
core,supported_only,C0665,换热器结构与传热强化,False,443,213,1.570932652848316,1.454060398310247,1.396805984448854,81.2557781201849
core,supported_only,C0713,电价预测,False,341,171,1.7791583279783143,1.5356145889119868,1.5356145889119868,76.14984591679507
core,supported_only,C0725,废塑料回收与转化,False,382,181,1.330350236798239,1.448667399280834,1.1257886276810087,80.40446841294299
emerging,supported_only,C0060,超级电容器电极与器件,False,8795,3047,0.86353190092951,0.8805263912271192,0.84222224517178,48.204930662557786
emerging,supported_only,C0067,钙钛矿太阳能电池界面与器件性能,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0091,等离子体湍流与不稳定性,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0098,建筑与工业冷却节能,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0122,热电材料与热电性能优化,False,190,67,0.8857103763912,0.9375282934761436,0.6211306671008355,69.23728813559322
emerging,supported_only,C0155,电解水析氧催化,False,2156,689,0.7569147713034061,0.7872091220009946,0.721926339545979,33.04314329738058
emerging,supported_only,C0169,电池荷电状态健康状态与建模,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0186,煤热解气化与煤质特性,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0191,固态储氢材料与反应器,True,790,408,2.069917933201779,1.556307466647327,1.556307466647327,95.89368258859784
emerging,supported_only,C0210,地热资源开发与换热,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0216,电力可靠性与电气安全,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0245,碳基超级电容器电极,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
emerging,supported_only,C0246,虚拟电厂资源聚合与调度,True,686,345,1.7795875100387206,1.5507430110373372,1.5507430110373372,94.39137134052388
emerging,supported_only,C0251,充电站选址与充电调度,False,0,0,0.7381725333182875,0.8819710612701498,0.565919052247428,58.89830508474576
