category_id,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0070,963,0.8026998961578401,0.1703011422637591,0.11630321910695743,1.0,0.0
C0461,1814,0.9393605292171996,0.3081587651598677,0.15214994487320838,1.0,0.0
C0493,1410,0.9574468085106383,0.5460992907801419,0.14113475177304965,0.0,1.0
C0728,843,0.8873072360616845,0.4424673784104389,0.14116251482799524,0.0,1.0
C0592,597,0.8559463986599665,0.490787269681742,0.19430485762144054,0.0,1.0
C0188,1078,0.6846011131725418,0.21428571428571427,0.1836734693877551,1.0,0.0
C0446,2117,0.7973547472838923,0.2054794520547945,0.17855455833726971,1.0,0.0
C0409,984,0.8058943089430894,0.10873983739837398,0.09451219512195122,0.03861788617886179,0.0
C0226,1405,0.9601423487544484,0.8889679715302491,0.12313167259786477,0.034875444839857654,0.2576512455516014
C0196,1515,0.7953795379537953,0.3465346534653465,0.1603960396039604,0.10891089108910891,0.0
C0123,965,0.633160621761658,0.07253886010362694,0.07253886010362694,0.22694300518134716,0.0
C0184,4110,0.908272506082725,0.3029197080291971,0.11435523114355231,0.05279805352798053,0.0
C0183,1507,0.820836098208361,0.06702057067020571,0.1479761114797611,1.0,0.0
C0408,985,0.7949238578680203,0.3817258883248731,0.233502538071066,0.1736040609137056,0.10050761421319797
C0247,895,0.8335195530726257,0.07597765363128492,0.08156424581005586,1.0,0.0
C0362,1270,0.9181102362204724,0.42362204724409447,0.1173228346456693,0.01968503937007874,0.0
C0277,468,0.9166666666666666,0.30982905982905984,0.09188034188034189,1.0,0.0
C0382,1339,0.9088872292755787,0.4316654219566841,0.1157580283793876,0.05675877520537715,0.0
C0179,620,0.7548387096774194,0.29193548387096774,0.09193548387096774,0.11129032258064517,0.0
C0254,2826,0.9355980184005662,0.28662420382165604,0.11571125265392782,0.07254069355980183,0.1942675159235669
C0472,803,0.8493150684931506,0.052303860523038606,0.18306351183063513,0.0410958904109589,0.2191780821917808
C0149,288,0.71875,0.2986111111111111,0.12152777777777778,1.0,0.0
C0394,1482,0.7732793522267206,0.2213225371120108,0.15317139001349528,1.0,0.0
C0031,744,0.8145161290322581,0.20698924731182797,0.13709677419354838,1.0,0.0
C0520,128,0.9140625,0.4296875,0.078125,0.0,1.0
C0167,510,0.9019607843137255,0.3392156862745098,0.11568627450980393,0.2627450980392157,0.0
C0353,91,0.6153846153846154,0.06593406593406594,0.10989010989010989,0.01098901098901099,0.0
C0145,1013,0.7976307996051333,0.25468904244817375,0.12734452122408688,0.007897334649555774,0.0
C0485,935,0.932620320855615,0.8427807486631016,0.1786096256684492,1.0,0.0
C0510,602,0.9285714285714286,0.7375415282392026,0.08803986710963455,0.0,1.0
C0024,745,0.5865771812080537,0.3073825503355705,0.15704697986577182,1.0,0.0
C0278,2050,0.9390243902439024,0.6634146341463415,0.20829268292682926,0.1746341463414634,0.08780487804878048
C0141,1265,0.8790513833992095,0.17312252964426877,0.108300395256917,0.030039525691699605,0.0
C0378,1091,0.8955087076076994,0.3611365719523373,0.08615948670944087,0.03024747937671861,0.0
C0121,2015,0.8397022332506203,0.4133995037220844,0.12406947890818859,1.0,0.0
C0468,3090,0.7433656957928803,0.29255663430420714,0.19029126213592232,1.0,0.0
C0266,658,0.9285714285714286,0.817629179331307,0.12158054711246201,0.5866261398176292,0.0425531914893617
C0061,1062,0.9171374764595104,0.1864406779661017,0.12617702448210924,0.04519774011299435,0.0
C0476,1030,0.9194174757281554,0.6456310679611651,0.1262135922330097,0.11165048543689321,0.0
C0176,1450,0.756551724137931,0.16827586206896553,0.15517241379310345,0.08896551724137931,0.0
C0255,960,0.9197916666666667,0.8375,0.19166666666666668,1.0,0.0
C0469,321,0.7445482866043613,0.7258566978193146,0.23052959501557632,1.0,0.0
C0400,976,0.6004098360655737,0.1413934426229508,0.10860655737704918,1.0,0.0
