category_id,volume,citation,institutions,persistence,current
C0105,0.8489984591679507,0.5177195685670262,0.8181818181818182,1.0,0.8505392912172574
C0106,0.9414483821263482,0.2773497688751926,0.9553158705701078,1.0,0.9445300462249615
C0107,0.4083204930662558,0.4560862865947612,0.4453004622496148,0.4166666666666667,0.4098613251155624
C0108,0.12788906009244994,0.14791987673343607,0.13405238828967642,0.0,0.1263482280431433
C0109,0.9137134052388289,0.9075500770416025,0.7889060092449923,1.0,0.8983050847457628
C0110,0.08166409861325115,0.08628659476117104,0.09553158705701079,0.0,0.08782742681047766
C0111,0.053929121725731895,0.046224961479198766,0.07704160246533127,0.0,0.08166409861325115
C0112,0.4560862865947612,0.10631741140215717,0.43759630200308164,1.0,0.46687211093990755
C0113,0.9707241910631741,0.7349768875192604,0.9922958397534669,1.0,0.9460708782742681
C0114,0.8366718027734977,0.7565485362095532,0.827426810477658,1.0,0.8459167950693375
C0115,0.7565485362095532,0.6409861325115562,0.7688751926040062,1.0,0.8197226502311248
C0116,0.10323574730354391,0.12480739599383667,0.07704160246533127,0.0,0.08166409861325115
C0117,0.7550077041602465,0.22650231124807396,0.7580893682588598,1.0,0.8228043143297381
C0118,0.03697996918335902,0.03389830508474576,0.023112480739599383,0.0,0.030816640986132512
C0119,0.07395993836671803,0.03389830508474576,0.08320493066255778,0.0,0.10477657935285054
C0120,0.5978428351309707,0.19568567026194145,0.6101694915254238,1.0,0.5654853620955316
C0121,0.9337442218798151,0.3913713405238829,0.7812018489984591,1.0,0.9676425269645609
C0122,0.9861325115562404,0.687211093990755,0.9784283513097073,1.0,0.9830508474576272
C0123,0.6949152542372882,0.29738058551617874,0.5624036979969184,1.0,0.7503852080123267
C0124,0.5747303543913713,0.46841294298921415,0.5716486902927581,1.0,0.6471494607087828
C0125,0.7919876733436055,0.6271186440677966,0.7950693374422187,1.0,0.8151001540832049
C0126,0.9691833590138675,0.926040061633282,0.926040061633282,1.0,0.9568567026194145
C0127,0.7966101694915254,0.8043143297380585,0.7103235747303543,1.0,0.7395993836671803
C0128,0.8567026194144838,0.7072419106317411,0.9568567026194145,1.0,0.7950693374422187
C0129,0.884437596302003,0.5701078582434514,0.9445300462249615,1.0,0.8998459167950693
C0130,0.9090909090909091,0.20030816640986132,0.8952234206471494,1.0,0.9768875192604006
C0131,0.14791987673343607,0.27889060092449924,0.14175654853620956,0.0,0.12326656394453005
C0132,0.8875192604006163,0.9029275808936826,0.9337442218798151,1.0,0.8659476117103235
C0133,0.901386748844376,0.4221879815100154,0.9599383667180277,1.0,0.8551617873651772
C0134,0.6440677966101694,0.3898305084745763,0.7781201848998459,1.0,0.6363636363636364
C0135,0.13713405238828968,0.1016949152542373,0.11556240369799692,0.0,0.15562403697996918
C0136,0.7935285053929122,0.19106317411402157,0.7442218798151001,1.0,0.8012326656394453
C0137,0.8613251155624037,0.74884437596302,0.8828967642526965,1.0,0.8613251155624037
C0138,0.9152542372881356,0.5038520801232665,0.9460708782742681,1.0,0.9368258859784283
C0139,0.5100154083204931,0.24961479198767333,0.4899845916795069,1.0,0.5053929121725732
C0140,0.7257318952234206,0.6178736517719569,0.8751926040061633,1.0,0.7812018489984591
C0141,0.8412942989214176,0.6810477657935285,0.8798151001540832,1.0,0.8659476117103235
C0142,0.09244992295839753,0.0970724191063174,0.08320493066255778,0.0,0.08166409861325115
C0143,0.8936825885978429,0.4560862865947612,0.7765793528505393,1.0,0.9152542372881356
C0144,0.6055469953775039,0.2049306625577812,0.6949152542372882,1.0,0.6394453004622496
C0145,0.7534668721109399,0.18335901386748846,0.8998459167950693,1.0,0.7673343605546995
C0146,0.9614791987673343,0.9506933744221879,0.9399075500770416,1.0,0.9506933744221879
C0147,0.06471494607087827,0.2357473035439137,0.046224961479198766,0.0,0.09861325115562404
C0148,0.11093990755007704,0.2033898305084746,0.10631741140215717,0.0,0.11556240369799692
C0149,0.5685670261941448,0.18952234206471494,0.7519260400616333,1.0,0.48228043143297383
C0150,0.5808936825885979,0.7627118644067796,0.6471494607087828,1.0,0.5901386748844376
C0151,0.9075500770416025,0.7442218798151001,0.9506933744221879,1.0,0.8921417565485362
