category_id,multiyear_growth,recent_growth,trend,quarter_consistency,institution_expansion
C0422,0.9506933744221879,0.8690292758089369,0.9337442218798151,0.5,0.8567026194144838
C0423,0.38058551617873654,0.15408320493066255,0.3898305084745763,0.25,0.288135593220339
C0424,0.5300462249614792,0.6933744221879815,0.4591679506933744,0.75,0.5824345146379045
C0425,0.6856702619414484,0.6209553158705701,0.765793528505393,0.5,0.5546995377503852
C0426,0.5285053929121726,0.43759630200308164,0.4930662557781202,0.25,0.5315870570107858
C0427,0.6209553158705701,0.7627118644067796,0.5701078582434514,0.5,0.35285053929121724
C0428,0.6702619414483821,0.6656394453004623,0.6640986132511556,1.0,0.724191063174114
C0429,0.0662557781201849,0.0662557781201849,0.05855161787365177,0.0,0.11248073959938366
C0430,0.3266563944530046,0.600924499229584,0.2727272727272727,0.5,0.13405238828967642
C0431,0.325115562403698,0.28043143297380585,0.3359013867488444,0.25,0.6363636363636364
C0432,0.6101694915254238,0.8736517719568567,0.6101694915254238,0.5,0.02465331278890601
C0433,0.9198767334360555,0.9106317411402157,0.8998459167950693,1.0,0.9368258859784283
C0434,1.0,1.0,1.0,0.25,0.9229583975346687
C0435,0.8998459167950693,0.8813559322033898,0.9106317411402157,1.0,0.6779661016949152
C0436,0.8351309707241911,0.6363636363636364,0.8459167950693375,0.75,0.8382126348228043
C0437,0.963020030816641,0.9506933744221879,0.9229583975346687,1.0,0.9537750385208013
C0438,0.7873651771956857,0.9537750385208013,0.7288135593220338,1.0,0.4098613251155624
C0439,0.5978428351309707,0.724191063174114,0.5731895223420647,1.0,0.43297380585516176
C0440,0.08936825885978428,0.1386748844375963,0.06779661016949153,0.0,0.11710323574730354
C0441,0.0847457627118644,0.0970724191063174,0.08936825885978428,0.25,0.25115562403698
C0442,0.5793528505392912,0.8690292758089369,0.7195685670261941,0.5,0.3605546995377504
C0443,0.8335901386748844,0.7966101694915254,0.7673343605546995,1.0,0.7026194144838213
C0444,0.9244992295839753,0.8767334360554699,0.8690292758089369,0.75,0.6024653312788906
C0445,0.5747303543913713,0.4745762711864407,0.5824345146379045,0.25,0.24499229583975346
C0446,0.9044684129429892,0.8520801232665639,0.8736517719568567,1.0,0.8551617873651772
C0447,0.9322033898305084,0.9060092449922958,0.9214175654853621,0.5,0.773497688751926
C0448,0.4699537750385208,0.4268104776579353,0.4406779661016949,0.25,0.46533127889060094
C0449,0.44684129429892144,0.49768875192604006,0.5100154083204931,0.75,0.2773497688751926
C0450,0.4622496147919877,0.46533127889060094,0.50231124807396,0.25,0.48536209553158705
C0451,0.674884437596302,0.6286594761171033,0.7226502311248074,0.75,0.45454545454545453
C0452,0.5130970724191063,0.4560862865947612,0.4637904468412943,0.25,0.3389830508474576
C0453,0.7966101694915254,0.9445300462249615,0.8936825885978429,0.25,0.9830508474576272
C0454,0.522342064714946,0.7134052388289677,0.41910631741140214,0.75,0.5624036979969184
C0455,0.3543913713405239,0.3929121725731895,0.3667180277349769,0.25,0.3975346687211094
C0456,0.07550077041602465,0.7642526964560863,0.6271186440677966,0.75,0.09553158705701079
C0457,0.7827426810477658,0.7750385208012327,0.7072419106317411,0.75,0.7457627118644068
C0458,0.6887519260400616,0.7149460708782742,0.6979969183359014,0.75,0.8212634822804314
C0459,0.3420647149460709,0.39445300462249616,0.3682588597842835,0.0,0.5346687211093991
C0460,0.576271186440678,0.6563944530046225,0.5531587057010786,0.75,0.6486902927580893
C0461,0.5177195685670262,0.4345146379044684,0.48382126348228044,0.25,0.7010785824345146
C0462,0.2835130970724191,0.2573189522342065,0.275808936825886,0.0,0.26348228043143296
C0463,0.926040061633282,0.9214175654853621,0.8983050847457628,0.75,0.8921417565485362
